num,speaker,sentence
ep07-0580,보조출연,밖에서 유행하는거 다 압니다
ep07-0581,보조출연,덩달이 시리즈
ep07-0582,쓰레기,어허.. 그라믄 안돼.. 그라믄 안돼는데..
ep07-0583,보조출연,불안감에 대한 덩달이 시리즈 아십니까
ep07-0584,쓰레기,선배 그... 그 얘기 다 아는거같은데..
ep07-0585,보조출연,할매가
ep07-0586,보조출연,옥상에서 빨래를 널고있었어
ep07-0587,보조출연,으헤헤헤 그 얘기 웃기지..
ep07-0588,보조출연,그렇지 웃기지..
ep07-0589,보조출연,빨래를 널다 말고 엄마한테 이렇게 말을했으
ep07-0590,보조출연,어멈
ep07-0591,보조출연,이거 어멈 브란감?
ep07-0592,보조출연,크하하하하하
ep07-0593,보조출연,야 니 임마 군대 갔다오드마 임마 좀 턴다 턴다
ep07-0594,보조출연,터레기네 터레기
ep07-0595,보조출연,정말 잘 턴다
ep07-0596,보조출연,니 지상 최강이야 으하하하
ep07-0597,보조출연,안 재밌나
ep07-0598,쓰레기,크하핳 재밌엏#$%$# 크하하
ep07-0599,효과음,저희 명보여객을 이용해 주신 승객여러분께 감사말씀드립니다
ep07-0600,효과음,저희 버스는 이곳 금강 휴게소에서
ep07-0601,효과음,약 15분간 정차할 예정입니다
ep07-0602,효과음,내리실때 귀중품을 잘 확인하시고
ep07-0603,효과음,용무가 끝나신후 버스차량을 확인하신후 탑승하시기 바랍니다
ep07-0604,효과음,오늘도 저희 명보여객을 이용해주셔서 감사합니다
ep07-0605,보조출연,실례함다
ep07-0606,보조출연,자 잠시 실례 하겠습니다
ep07-0607,보조출연,여러분의 귀중한 시간 5분만 빌리겠습니다
ep07-0608,보조출연,자 이 시계 보이시죠
ep07-0609,보조출연,이 시계로 말씀드리자면
ep07-0610,보조출연,스위스 정통 시계 제조사 IFC에서 개발하고 디자인한 제품으로
ep07-0611,보조출연,시계 내부와 외부 밴드는 물론 24k 순금으로 처리가 되있습니다
ep07-0612,보조출연,보시는거 처럼 수중 만오천미터에서도
ep07-0613,보조출연,째깍째깍 작동하는 내구력을 지니고 있습니다
ep07-0614,보조출연,또한 한번만 맞춰노면 지구 종말이 올때 까~지
ep07-0615,보조출연,절대 고장날일이 없는
ep07-0616,보조출연,인류가 이용할수 있는 최고의 기술이 모여만든 시계가 바로
ep07-0617,보조출연,이시계 입니다
ep07-0618,보조출연,이 시계의 가격은 원래 팔십삼만원
ep07-0619,보조출연,하지만 저희 회사에서 독점으로 수입하고 공급하는 관계로
ep07-0620,보조출연,오늘은 특별히 여러분들에게
ep07-0621,보조출연,단돈 3만원에 모시겠습니다
ep07-0622,보조출연,하지만 저희 회사 물량이 부족한 관계로
ep07-0623,보조출연,이 좋은기회를 여러분 모두에게 드릴수 없고
ep07-0624,보조출연,추첨을 통해서 딱 세분에게만
ep07-0625,보조출연,행운의 기회를 드리도록 하겠습니다
ep07-0626,보조출연,아쉽게도 행운의 기회를 얻지 못하는 분들에게는
ep07-0627,보조출연,미리 양해말씀 드립니다
ep07-0628,보조출연,자 그럼 당첨번호를 발표하겠습니다
ep07-0629,보조출연,2번
ep07-0630,보조출연,10번
ep07-0631,보조출연,17번
ep07-0632,보조출연,자 여깄습니다~ 축하드립니다~
ep07-0633,보조출연,어디보자 17번 손님...
ep07-0634,보조출연,아이고 감사합니다~
ep07-0635,보조출연,이쁘게차세요
ep07-0636,보조출연,출발!
ep07-0637,효과음,오늘도 저희 원진여객을 이용해 주신 승객여러분께
ep07-0638,효과음,감사의 말씀드립니다
ep07-0639,효과음,저희버스는 이곳 여산휴게소에서 약 15분간 정차할 예정입니다
ep07-0640,해태,가자~
ep07-0641,해태,니 안내려가냐
ep07-0642,조윤진,밖에 푹푹찌는거 안보이냐
ep07-0643,조윤진,난 여기 있을란다
ep07-0644,해태,오줌도 안매려운갑다잉
ep07-0645,조윤진,아 남이사 오줌이 마렵든 똥이 마렵든 니가 뭔 상관인데
ep07-0646,조윤진,오지랖도 태평양이다..
ep07-0647,해태,에이 씨 꼴통가시내 진짜
ep07-0648,해태,내가 다시는 니랑 말 안해
ep07-0649,해태,하~
ep07-0650,해태,아따 진짜 이러다 누구하나 죽어불것구만
ep07-0651,해태,아..
ep07-0652,성동일,아따 참말로
ep07-0653,성동일,참말로..
ep07-0654,이일화,올해는 진짜 에어컨 한대 사야겠다
ep07-0655,이일화,이라다가 우리 귀한 신랑~ 죽겄다
ep07-0656,성동일,아 이사람아 전기세 걱정하믄서
ep07-0657,성동일,그 비싼 에어컨을 뭐덜러고 사
ep07-0658,성동일,그것이 다 사치고 낭비여 낭비
ep07-0659,이일화,하이고..
ep07-0660,성동일,아 그나저나 꼭 이 점심때
ep07-0661,성동일,매운탕을 먹어야 쓰겄는가
ep07-0662,이일화,내가 묵고싶어서 그라나 다 우리 쑥쑥이
ep07-0663,성동일,아아 알데 쑥쑥이 알데
ep07-0664,성동일,이눔이 시키 콱그냥 나오기만 해봐
ep07-0665,이일화,테레비 뭐 재밌는거 안하다나
ep07-0666,성동일,토요일날 낮에 뭐 재밌는거 한다그래
ep07-0667,성동일,저기 선풍기나 강으로 틀어보소
ep07-0668,이일화,아
ep07-0669,이일화,빙그레 도착할때 안됬나
ep07-0670,이일화,괴산이면 여서 한 2시간이면 안가나
ep07-0671,이일화,도착하면 바로 전화 하라 캤는데
ep07-0672,이일화,임마이거.
ep07-0673,이일화,혹시 집에 안들어간거 아이가
ep07-0674,성동일,이사람아 지깟놈이 집에안들어가고
ep07-0675,성동일,이 삼복더위에 갈곳이 어딨당가그래
ep07-0676,성동일,그나저나 그냥 여름날씨그냥 오살나게 덥네..
ep07-0677,성동일,짜증나 죽겄어 그냥
ep07-0678,성동일,누가하나 더워가꼬 콱 디져바야 날이 좀 풀어질랑가그냥
ep07-0679,이일화,내처럼그냥 가마~히 있어봐라
ep07-0680,이일화,그럼 안덥다
ep07-0681,성동일,아 뭐 테레비를 틀어싸 볼것도 없는디
ep07-0682,효과음,긴급속보입니다
ep07-0683,효과음,뉴스속보를 말씀 드리겠습니다
ep07-0684,보조출연,다음 학기부터 맞죠?
ep07-0685,빙그레,예..
ep07-0686,보조출연,네 접수 됬습니다
ep07-0687,빙그레,그럼 끝난거에요?
ep07-0688,보조출연,네 2학기 휴학접수 등록됬어요
ep07-0689,보조출연,그래도 집에 등록금 고지서는 갈텐데
ep07-0690,보조출연,뭐 그냥 버리시면 되요
ep07-0691,보조출연,요새도 삐라 같은게 있나
ep07-0692,보조출연,뭐야 저게..
ep07-0693,보조출연,요새도 삐라 같은게 있나
ep07-0694,보조출연,뭐야 저게..
ep07-0695,보조출연,호외요~ 호외
ep07-0696,보조출연,호외요~ 호외
ep07-0697,보조출연,뉴스속보를 말씀드리겠습니다
ep07-0698,보조출연,북한의 평양방송과 중앙방송은 9일 낮 12시
ep07-0699,보조출연,특별 방송을 통해 김일성주석이 지난 8일
ep07-0700,보조출연,새벽2시에 사망했다고 발표했습니다
ep07-0701,보조출연,김일성의 급작스런 사망원인은 심장동맥 경화증으로 인한
ep07-0702,보조출연,심근경색으로 알려졌는데요
ep07-0703,보조출연,김 주석이 사망한것을 북한방송이 공식 확인함에따라
ep07-0704,보조출연,북한의 정치상황에 관심이 모아지고 있습니다
ep07-0705,보조출연,후계자는 역시 예상대로
ep07-0706,보조출연,김정일이 가장 유력한것으로 점쳐지고있습니다
ep07-0707,성동일,오미오미..
ep07-0708,성동일,김일성도 죽는날이 다오네..
ep07-0709,이일화,이라다 전쟁나는거 아니가
ep07-0710,성동일,예끼 이사람아
ep07-0711,성동일,전쟁은 무슨..
ep07-0712,보조출연,한편 김일성 사망소식이 전해지자
ep07-0713,보조출연,전군은 비상 경계태세에 돌입했으며
ep07-0714,보조출연,오후한시를 기해 전 공무원 비상대기령
ep07-0715,보조출연,경찰 비상령이 내려졌습니다
ep07-0716,보조출연,특히 군 당국은 한반도 도발을 우려해
ep07-0717,보조출연,대북경계태세를 강화
ep07-0718,보조출연,휴가중인 모두 군인의 자대복귀를 지시했습니다
ep07-0719,해태,어으... 군바리들만 죽어 나겠구만
ep07-0720,해태,걔들은 뭔죄여
ep07-0721,해태,허어어억
ep07-0722,보조출연,학생 이제오면 어떡해 다들 기다리고있는거 안보여?
ep07-0723,해태,죄송합니다...
ep07-0724,해태,아이 제가 김일성이때매 정신이 좀 팔려부러 가지고..
ep07-0725,해태,죄송합니다..
ep07-0726,보조출연,어이 이제 그만 키 주시지
ep07-0727,해태,아..
ep07-0728,해태,아나
ep07-0729,조윤진,니나 처먹어야
ep07-0730,해태,아이..
ep07-0731,성나정,진짜 미안하다
ep07-0732,성나정,내도 저정도일줄은 몰랐지..
ep07-0733,성나정,미안하다..
ep07-0734,보조출연,에휴
ep07-0735,성나정,내가 스페이스 쏘께 어?
ep07-0736,성나정,영화랑... 진짜 미안
ep07-0737,보조출연,그거말고
ep07-0738,보조출연,나 그 오빠 삐삐 번호좀
ep07-0739,성나정,누구?
ep07-0740,성나정,그 몽고간장오빠야는 좀 갠찮제~
ep07-0741,보조출연,아니~ 주선자
ep07-0742,보조출연,난 그 오빠가 젤 낫던데
ep07-0743,보조출연,나 그 오빠 번호좀
ep07-0744,성나정,누구
ep07-0745,성나정,쓰레기?
ep07-0746,성나정,우리 오빤데~
ep07-0747,보조출연,야 친오빠도 아니라며
ep07-0748,보조출연,나도 귀엽던데
ep07-0749,보조출연,의대 본과 3학년이라 그랬지?
ep07-0750,성나정,어
ep07-0751,성나정,근데 그 오빠 완전 쓰레긴데..
ep07-0752,보조출연,왜
ep07-0753,성나정,옷도 잘 못입고
ep07-0754,보조출연,옷잘입었드만
ep07-0755,성나정,매너도 없고
ep07-0756,보조출연,야 매너만 있더만
ep07-0757,성나정,말도 잘 안한다
ep07-0758,보조출연,그게 젤 좋다
ep07-0759,보조출연,말도 안되는 덩달이 시리즈 하는것보단 나아
ep07-0760,보조출연,사투리 살짝 쓰는것도 귀엽고
ep07-0761,보조출연,야 빨리 번호줘
ep07-0762,성나정,어...
ep07-0763,성나정,아.. 근데
ep07-0764,성나정,그 오빠 여자친구있다
ep07-0765,보조출연,어?!
ep07-0766,성나정,짐 동거한다
ep07-0767,보조출연,동거?!
ep07-0768,보조출연,쓰레기네
ep07-0769,성나정,동거..
ep07-0770,쓰레기,예예
ep07-0771,쓰레기,그래도 뭐 전화는 되는갑네요
ep07-0772,쓰레기,부대까지 잘 들어갔습니까
ep07-0773,보조출연,아 딸내미 함 만나볼라했는데
ep07-0774,보조출연,이래 하늘이 안도와준다
ep07-0775,보조출연,이번에 분위기 진짜 좋았는데 맞제
ep07-0776,쓰레기,예예.. 거 뭐 참 분위기 좋대요 허..
ep07-0777,보조출연,아 그라고 내 그 딸래미 삐삐번호좀 알리도
ep07-0778,쓰레기,누구요
ep07-0779,쓰레기,아아 모자쓴 딸래미? 하기사 가가 젤 귀엽긴 하데요
ep07-0780,보조출연,어데~ 가 말고
ep07-0781,보조출연,니 동생있다아이가 나정이라 캤나
ep07-0782,보조출연,얼굴도 쪼맨하고 피부도 하얗고 마
ep07-0783,보조출연,가가 젤 이쁘드만
ep07-0784,보조출연,말하는 것도 새근새근하이 딱 내스타일 이다
ep07-0785,쓰레기,에 걔는 아직 어려서 안돼
ep07-0786,보조출연,이 미친쉐키
ep07-0787,보조출연,가랑 딸아들이랑 나이 똑같다
ep07-0788,보조출연,마 삐삐번호 얼른 불러라
ep07-0789,쓰레기,정아 매운탕 묵자
ep07-0790,쓰레기,엄마가 또 한강만큼 하싰..는데..
ep07-0791,쓰레기,가시나 이거 어디갔노 방금 있었는데 응?
ep07-0792,쓰레기,날 더븐데 어디갔지
ep07-0793,효과음,(웅성웅성)
ep07-0794,보조출연,플레이볼!
ep07-0795,효과음,(산만한 웅성웅성)
ep07-0796,효과음,B1A4 그대와 함께 / 응답하라1994 OST
ep07-0797,효과음,그대여 나의 눈을 봐요
ep07-0798,효과음,그대의 눈빛속에 내가 들어갈 수 있도록
ep07-0799,효과음,이제는 솔직하게 얘길해봐요
ep07-0800,효과음,더이상 숨기지 말고
ep07-0801,효과음,그대여
ep07-0802,보조출연,스투~~라잌
ep07-0803,효과음,두눈을 감아요
ep07-0804,보조출연,스투~~라이크 아웃!
ep07-0805,효과음,눈을 뜨지 않아도 마음으로 볼수가 있어
ep07-0806,효과음,언제나 그대 숨결 느낄 수 있도록
ep07-0807,효과음,내곁에 있어요 지금 이대로
ep07-0808,보조출연,말씀드리는 순간 선발투수가 9회에도 또 올라오네요
ep07-0809,보조출연,이 무더위에 참 대단합니다
ep07-0810,보조출연,괜히 대학 최고 우완투수가 아니네요
ep07-0811,보조출연,그.. 지금 혼자서 한 130개의 공을 던졌는데요
ep07-0812,보조출연,그래도 전혀 구위가 떨어지지 않는데요
ep07-0813,보조출연,이번 이닝만 잘 막아낸다면은 이번 대학리그 MVP도
ep07-0814,보조출연,아마 이 선수 차지가 아닐까 생각되네요
ep07-0815,보조출연,자 투수가 신중하게 와인드업을 펼치고 있습니다
ep07-0816,보조출연,바깥쪽 공 그대로 밀어친 타구
ep07-0817,보조출연,좌측에 높이 뜹니다 좌측
ep07-0818,보조출연,좌익수 잡아냅니다
ep07-0819,보조출연,자 이제 아웃카운트가 두개남은 상황인데요
ep07-0820,보조출연,다시 한번 투수가 신중하게 이제 투볼 투스트라잌
ep07-0821,보조출연,높은공 그대로 삼진!
ep07-0822,보조출연,스트라잌 아웃!
ep07-0823,보조출연,삼진 열개째 잡아냅니다
ep07-0824,보조출연,두자릿수 삼진을 잡아내는대요
ep07-0825,보조출연,정말 경기를 지배하고 있다고해도 과언이 아닙니다
ep07-0826,보조출연,자 이제 마지막 타자
ep07-0827,보조출연,정규이닝 종료까지 아웃카운트 하나 남았습니다
ep07-0828,보조출연,볼카운트 투앤원
ep07-0829,보조출연,아웃카운트 하나인상황
ep07-0830,보조출연,그대로 헛스윙
ep07-0831,보조출연,삼진입니다!
ep07-0832,보조출연,스트라잌 아웃!
ep07-0833,보조출연,결국 삼진 11개를 잡아내면서 경기종료
ep07-0834,보조출연,이래서 말이죠 연대가 대학리그까지 올해 전대회 우승을 차지하네요
ep07-0835,효과음,김민종 내가알고있는 미소
ep07-0836,효과음,또 하루가 지면 지쳐버린 모습
ep07-0837,효과음,조금씩 다가오는 사랑을 위해
ep07-0838,효과음,어둠에 가리운 시간 사이로
ep07-0839,효과음,슬픈 기억은 모두
ep07-0840,효과음,하늘에 떠 도는 구름이 되어
ep07-0841,효과음,바람에 날리우고
ep07-0842,효과음,너의 수줍은 미소 마저 내게는
ep07-0843,효과음,너무 소중했던 거야
ep07-0844,효과음,항상 그렇게 변함없는 눈길로
ep07-0845,효과음,나를 바라 본다면
ep07-0846,효과음,하늘에 고운 무지개 별이 되어
ep07-0847,효과음,날아가리
ep07-0848,보조출연,미친 쉐키 가랑 딴아들이랑 나이 똑같다
ep07-0849,보조출연,마 삐삐번호 얼른 불러라
ep07-0850,보조출연,와 글마 남자친구있나
ep07-0851,쓰레기,예
ep07-0852,쓰레기,걔 남자친구있습니더
ep07-0853,보조출연,야 성나정
ep07-0854,보조출연,당근 우리가 먼저갈줄 알았는데
ep07-0855,보조출연,어쩜그렇게 먼저 선수를 쳐버리냐
ep07-0856,보조출연,진짜진짜진짜 축하하구
ep07-0857,보조출연,행복하게 오래오래 잘 살아~
ep07-0858,보조출연,잘들 사시고
ep07-0859,보조출연,원샷 원조카 기대하겠습니다
ep07-0860,보조출연,아 우리 연결시켜준 장본인인데 길게 좀 얘기해봐
ep07-0861,보조출연,덕담도 좀 하구..
ep07-0862,보조출연,아 나정아 늦었지만 중매값으루...
ep07-0863,성나정,다들 나의 신성한 결혼식에 집중들 안하지?
ep07-0864,조윤진,야 신성한 것이 아니고 겁나 웃긴 동영상이구마
ep07-0865,조윤진,야 나 힘들때 이 테잎 쪼까 빌려가야쓰것으야
ep07-0866,성나정,아 뭐야 맥주 다먹었어?
ep07-0867,조윤진,얘네들 많이 먹었어
ep07-0868,조윤진,오메 벌써 몇개를 먹은거데
ep07-0869,성나정,이씨.. 난 시작도 안했는데
ep07-0870,성나정,"여보, 가서 맥주 좀 사와"
ep07-0871,성나정,야 김재준 가서 맥주 좀 사오라고 확 다 판 엎어버리기 전에
ep07-0872,해태,에이.. 저 아줌마 또 엎는다면 엎는 사람이지
ep07-0873,해태,야 윤진이 좀 보고 배워라 어?
ep07-0874,해태,옛날에 그렇게 지랄맞더니 남편 잘만나가지고 지금 저렇게 순딩이다
ep07-0875,조윤진,지랄
ep07-0876,쓰레기,야 돈내놔 3650만원
ep07-0877,해태,크하하 뭐하냐 빨리 나가자야
ep07-0878,해태,맥주사고 바람이나 쐬고오자
ep07-0879,쓰레기,돈 주고 나가
ep07-0880,해태,카하하하
ep07-0881,해태,아 왜그래요 클날뻔 했다~
ep07-0882,성나정,여보 지갑 안가져가?
ep07-0883,다같이,오~
ep07-0884,다같이,나이스캐치~
ep07-0885,다같이,플라이 예~
ep07-0886,성나정,참 이쁘다.. 그지
ep07-0887,성동일,느그들 좋은말 할때 방구석으로 언능 안 기어들어갈래?!
ep07-0888,성동일,여기서는 죽어도 못잔당께!!!!
ep07-0889,이일화,아이 와 고마 이것도 추억아이가
ep07-0890,이일화,오늘만 이래 자자
ep07-0891,성동일,아 근다고 내가 여서 잘줄아나 이사람아
ep07-0892,성동일,아 그라고 이 잡것들은 방학도 아직 마이 남았는데
ep07-0893,성동일,뭐더러 기어올라와가꼬 그래
ep07-0894,성동일,혹시 너거들
ep07-0895,성동일,저것 때문이여?!
ep07-0896,해태,아따 아부지..
ep07-0897,해태,에어컨 산 기념으로다가
ep07-0898,해태,오늘 하루만 시원하게 재워주면 안된대요?
ep07-0899,해태,아 더워가꼬 잠을 못 자것어요..
ep07-0900,성나정,아빠.. 오늘 하루만 다 같이 에어컨틀고 자자
ep07-0901,성나정,딱 하루만 어?
ep07-0902,삼천포,어무이 배도 불러오는데
ep07-0903,삼천포,편케 주무셔야 안되겠습니까
ep07-0904,빙그레,아저씨 생각보다 에어컨 전기세도 얼마 안나온대요..
ep07-0905,쓰레기,아부지 오늘도 우리 칠봉이가 땡볕에서 공을 몇개..
ep07-0906,쓰레기,너 오늘 몇개 던졌다고?
ep07-0907,칠봉이,한.. 칠십..
ep07-0908,칠봉이,아.. 백오십개 정도
ep07-0909,성동일,오늘만이다잉!
ep07-0910,성동일,너거들 다 칠봉이 때문에 자는 줄 알어!
ep07-0911,다같이,오예~~~
ep07-0912,다같이,좋아좋아~
ep07-0913,성동일,저 미친거 ..
ep07-0914,이일화,근데거실 좁아가 다 자것나
ep07-0915,성동일,긍께로! 뭐더러 저것을 사가꼬
ep07-0916,성동일,아 저것만 없어도 가뜩이나 집 좁아 죽겄는디
ep07-0917,성동일,저새끼들까지 다와가지고
ep07-0918,성동일,두다리 못 뻗고 자자네!!
ep07-0919,이일화,또 누가아노 혹시 전쟁 났으먼 우리만 저거 묵고 살아남았을지
ep07-0920,성동일,아따 이 사람아 요새는 전쟁나면 바로바로 디져부러
ep07-0921,성동일,저 부탄가스까지 같이 터져 디져부러
ep07-0922,성동일,그나저나 저것을.. 다 언제 쓴대?..
ep07-0923,성동일,시간날때 나가서 팔어..
ep07-0924,성동일,불 꺼!!!!!!!!
ep07-0925,이일화,빙그레야~ 테레비는 하루죙일 봐서 지겹고
ep07-0926,이일화,라디오 좀 틀어봐라 노래들으면서 자구러
ep07-0927,해태,아따 우리 엄니 마음속에 소녀가 살고있네요잉
ep07-0928,성동일,아야 우리 집사람 마음속에는 소녀도 살고
ep07-0929,성동일,마녀도 살고~ 으헤헤
ep07-0930,이일화,하하하
ep07-0931,보조출연,이문세의 별이 빛나는 밤에 이제 2부도 마칠 시간입니다
ep07-0932,보조출연,요즘 참 덥죠
ep07-0933,보조출연,뉴스보니까 오늘 또 기상관측이래 최고치를 경신했다고 하던데
ep07-0934,보조출연,"어.. 불쾌지수에 열대야에, 짜증이 많이 나지만요"
ep07-0935,보조출연,생각해보면 언제 또 우리가 역사적인 여름을 살아보겠나 싶어요
ep07-0936,보조출연,나중에 20년 쯤 지나면 말이에요
ep07-0937,보조출연,이 어마어마한 더위 덕분에 그 수많았던 여름중에서도
ep07-0938,보조출연,이 여름을 그리고 오늘을 기억할 수 있게 되지 않을까요
ep07-0939,보조출연,그 때 이 기록적인 여름을 푸른 빛으로 기분 좋게
ep07-0940,보조출연,기억하기 위해서라도
ep07-0941,보조출연,너무 짜증들 내지마시고 가족들 친구들과 함께
ep07-0942,보조출연,이 뜨거움을 만끽하며
ep07-0943,보조출연,즐겁게 추억만들어 보시는건 어떨까 싶습니다
ep07-0944,보조출연,근데 덥긴 엄청 더워요 그죠~?
ep07-0945,보조출연,자 오늘 끝곡 전해드리면서 별밤지기는 물러 갑니다
ep07-0946,보조출연,듀스가 불러요 여름안에서
ep07-0947,보조출연,듀스여름안에서
ep07-0948,효과음,언제나 꿈꿔 온 순간이 여기 지금 내게 시작되고 있어
ep07-0949,효과음,그렇게 너를 사랑했던 내 마음을 넌 받아 주었어
ep07-0950,효과음,내 기분만큼 밝은 태양과 시원한 바람들이 내게 다가와
ep07-0951,효과음,나는 이렇게 행복을 느껴
ep07-0952,효과음,하늘은 우릴 항해 열려 있어
ep07-0953,효과음,그리고 내곁에는 니가 있어
ep07-0954,독백,누군가 그렇게 얘기했더랬다
ep07-0955,독백,여름은 젊음의 계절
ep07-0956,독백,환한 미소와 함께 서 있는
ep07-0957,독백,그리고 사랑의 계절이라고
ep07-0958,효과음,그래 너는 푸른 바다야
ep07-0959,독백,"1994년 그해 여름, 계절은 그렇게 지나가고 있었고"
ep07-0960,효과음,난 너를 사랑해 난 너를 사랑해
ep07-0961,독백,"나의, 그리고 우리의 여름은 이제 시작되고있었다"
ep07-0962,효과음,너는 푸른 바다야!
ep07-0963,해태,야 우산 좀 같이 쓰고가자 내가 우산을 안 갖고 왔데야..
ep07-0964,조윤진,나가 이렇게 콩알만하게 생겼어도 알건 다 아는 성인이거든
ep07-0965,칠봉이,니들
ep07-0966,칠봉이,뭐 있지
ep07-0967,빙그레,무조건이지
ep07-0968,해태,야 조윤진
ep07-0969,해태,너 나한테 관심있냐
ep07-0970,빙그레,윤진이랑 나정이랑
ep07-0971,삼천포,야랑은 절대 못산다
ep07-0972,성나정,만약 이중에 된다 카면은
ep07-0973,쓰레기,삼천포야 삼천포
ep07-0974,조윤진,가다 용돈 떨어지면 누나한테 얼릉 전화하고
ep07-0975,삼천포,어딜 뽈뽈거리고 댕긴다고
ep07-0976,삼천포,음성 확인도 안하는데
ep07-0977,성나정,오빠야
ep07-0978,성나정,우리 떡볶이 먹고가까
ep07-0979,성나정,오빠야가 좋다
ep07-0980,성나정,내 마음이
ep07-0981,성나정,그렇다
ep08-0001,조윤진,(윤진) 야! 한마리 가꼰 안되겄다
ep08-0002,조윤진,서너마리 더 구워봐야
ep08-0003,성나정,저것들이 집들이에 먹으러 왔나
ep08-0004,성나정,곱게 맥주나 처먹을 것이지 이씨 쯧...
ep08-0005,성나정,오빠 거기 마요네즈 좀
ep08-0006,쓰레기,마요 네즈~
ep08-0007,쓰레기,얼마 안남았는데
ep08-0008,성나정,아씨 귀찮은데 이씨
ep08-0009,성나정,슈퍼 좀 갖다와라
ep08-0010,쓰레기,줘봐봐 줘바
ep08-0011,쓰레기,어이고 .. 어허...
ep08-0012,조윤진,(윤진) 아야 오징어 아직 멀었냐
ep08-0013,조윤진,언능 좀 갖고 와바라
ep08-0014,쓰레기,어 오야~
ep08-0015,쓰레기,나정아 킁 하지마~
ep08-0016,쓰레기,오케이 ~
ep08-0017,쓰레기,오빠가 미안해
ep08-0018,쓰레기,어흐...
ep08-0019,성나정,킁~
ep08-0020,성나정,아휴
ep08-0021,성나정,나이 마흔셋이다 마흔셋 ! 제발 철좀들어라 인간아!
ep08-0022,성나정,어후 ~~~ 진짜
ep08-0023,성나정,아유 ~ 피부 참 좋다~
ep08-0024,성나정,내일 모레 마흔인데
ep08-0025,성나정,아휴~~
ep08-0026,빙그레,음.............
ep08-0027,해태,아 뭔 고민을 그리 해쌋냐
ep08-0028,해태,긍께 세상엔 여자라곤 야들 둘밖에 없어
ep08-0029,해태,둘중에 한명 무조건 선택해가지고 데꼬 살아야대
ep08-0030,해태,그럼 넌 누구냐고
ep08-0031,빙그레,음.....
ep08-0032,해태,아 이 소심한새끼 진짜
ep08-0033,해태,아 만약이여 만약에~
ep08-0034,해태,어? 뭔 고민을 해쌋냐 그냥 재미삼아 물어보는거여
ep08-0035,빙그레,연애여? 결혼이여?
ep08-0036,해태,연애부터 결혼까지 싹다
ep08-0037,해태,아 인제 대답좀 혀라 나정이냐~ 윤진이냐~
ep08-0038,삼천포,그라모 같이 ...
ep08-0039,삼천포,잠도 자나?
ep08-0040,"성나정,조윤진",아 ! !~ 나 진짜
ep08-0041,해태,그래 잔다 자!
ep08-0042,해태,맨날 맨날 자 !
ep08-0043,해태,애도 막 열명씩 나아불고
ep08-0044,해태,그냥 평생 늙을때까지 그냥 자 !
ep08-0045,해태,됐냐???
ep08-0046,삼천포,응
ep08-0047,빙그레,씁 그라믄 난 나정이 !
ep08-0048,성나정,예쓰
ep08-0049,빙그레,아이 니 삐지기 읎어~
ep08-0050,해태,니는?
ep08-0051,삼천포,응 ! 나도 나정이
ep08-0052,삼천포,야랑은 절대 몬산다
ep08-0053,삼천포,이 봐라 이거 눈까리 쏟아지것다
ep08-0054,성나정,내 벌써 두표가?
ep08-0055,성나정,니들 그동안 설레어가 그동안 우찌 한집에 같이 살았노
ep08-0056,쓰레기,가씨나 오바한다
ep08-0057,쓰레기,야 니가 윤진이보다캉 만만하니까 그런다
ep08-0058,삼천포,아인데예 행님
ep08-0059,삼천포,진짜로 대답한건데예!
ep08-0060,삼천포,나정이가 훨씬 이쁘고 여성스럽다 아입니꺼!
ep08-0061,빙그레,아 윤진이 귀여운디 왜그랴~
ep08-0062,빙그레,난 좀 고민되던디
ep08-0063,빙그레,아 그람 니 !
ep08-0064,빙그레,윤진여~ 나정이여
ep08-0065,해태,나? 쓰읍.. 나는...
ep08-0066,해태,음... 당연히
ep08-0067,해태,윤진이 !
ep08-0068,삼천포,솔직하게 대답해라잉 !
ep08-0069,해태,아 솔직하게 대답한거여~
ep08-0070,해태,내가 원랜 쪼까난 여자를 겁나 좋아하잖에잉
ep08-0071,삼천포,내가 원래 밝은여자를 겁내 좋아하잔에잉~
ep08-0072,조윤진,푸아아아악 !
ep08-0073,삼천포,우우웁!
ep08-0074,해태,쓰성님은요?
ep08-0075,해태,쓰성님은 둘중에 누구데요
ep08-0076,해태,둘중에 선택해서 사귀라 글면은
ep08-0077,쓰레기,음 ....
ep08-0078,쓰레기,나는~~~~~~~~~~
ep08-0079,성나정,잠깐만 ! 잠깐만...
ep08-0080,해태,크헤헤헤 그제잉 ~
ep08-0081,해태,요런것이 사람을 또 맥없이 긴장시킨다니깡
ep08-0082,해태,두구두구두구두구두구
ep08-0083,해태,나정일까요~ 윤진일까요~
ep08-0084,쓰레기,난 윤진이 !
ep08-0085,쓰레기,야는 식구아이가 식구 !
ep08-0086,해태,자자자자 ! 그라믄 인자 여자 ! 여자들 차례
ep08-0087,해태,윤진이 니는?
ep08-0088,해태,여기 여게 여러 남자들 중에서 누구냐
ep08-0089,해태,딱한명 선택해 사귀라 글면?
ep08-0090,해태,뭐냐 니
ep08-0091,해태,나 아녀?
ep08-0092,쓰레기,(쓰) 카하하하섭섭하다잉~
ep08-0093,해태,섭섭하다잉~ 뭐 어쨌든 한커플 탄생했네잉
ep08-0094,해태,은근히 쓰성님이 인기가 많다이까~
ep08-0095,해태,크흐흐흐말나온김에 둘이 사겨부러~
ep08-0096,쓰레기,저 미친게이 새끼 아이가? 크허허허허~
